,precision,recall,f1-score,support
Insufficient_Weight,0.9811320754716981,0.9811320754716981,0.9811320754716981,53.0
Normal_Weight,0.9655172413793104,0.9824561403508771,0.9739130434782609,57.0
Overweight_Level_I,1.0,0.9818181818181818,0.9908256880733946,55.0
Overweight_Level_II,1.0,1.0,1.0,58.0
Obesity_Type_I,1.0,1.0,1.0,70.0
Obesity_Type_II,1.0,0.9833333333333333,0.9915966386554622,60.0
Obesity_Type_III,0.9848484848484849,1.0,0.9923664122137404,65.0
accuracy,0.9904306220095693,0.9904306220095693,0.9904306220095693,0.9904306220095693
macro avg,0.9902139716713562,0.9898199615677272,0.9899762654132223,418.0
weighted avg,0.990549364291321,0.9904306220095693,0.9904499316639196,418.0
